tag,tag_unique,genus,species,scientific_name,common_name,trail,lat_y,lon_x,alt_z
2016_43,43_16,vitex,mombassae,vitex_mombassae,mtalali,gombe,-5.5330563,30.5494484,1633.5
2016_44,44_16,vitex,mombassae,vitex_mombassae,mtalali,gombe,-5.5330116,30.5496796,1666.800049
2016_41,41_16,vitex,mombassae,vitex_mombassae,mtalali,gombe,-5.5300016,30.5516301,1674.800049
2016_42,42_16,saba,comorensis,saba_comorensis,ibungu,gombe,-5.5296612,30.5510583,1616.5
2016_39,39_16,strychnos,spinosa,strychnos_spinosa,ikome,gombe,-5.5277314,30.5524174,1654.199951
2016_37,37_16,vitex,mombassae,vitex_mombassae,mtalali,gombe,-5.5259978,30.5528788,1635.099976
2016_36,36_16,unknown,unknown,unknown,kakungu_2,gombe,-5.5243636,30.5535172,1649.5
2016_35,35_16,vitex,mombassae,vitex_mombassae,mtalali,gombe,-5.5225303,30.5539829,1614.400024
2016_34,34_16,vitex,mombassae,vitex_mombassae,mtalali,gombe,-5.5196544,30.5543766,1567
2016_32,32_16,saba,comorensis,saba_comorensis,ibungu,gombe,-5.5178093,30.5544002,1558.699951
2016_30,30_16,albizia,glabberima,albizia_glabberima,unknown,gombe,-5.5177855,30.5544043,1609.5
2016_27,27_16,unknown,unknown,unknown,kakungu_2,gombe,-5.5173943,30.5541984,1589.900024
2016_26,26_16,vitex,mombassae,vitex_mombassae,mtalali,gombe,-5.5161236,30.5539829,1605.699951
2016_145,145_16,albizia,glabberima,albizia_glabberima,unknown,gombe,-5.5160199,30.5541108,1603.199951
2016_25,25_16,strychnos,spinosa,strychnos_spinosa,ikome,gombe,-5.5154315,30.5543631,1545.5
2016_5635,5635_16,keetia,guenzii,keetia_guenzii,mfulu,mchungwa,-5.5145422,30.5722568,1619.800049
2016_5629,5629_16,parinari,curatellifolia,parinari_curatellifolia,mbula,mchungwa,-5.5144885,30.5720033,1585.900024
2016_5630,5630_16,parinari,curatellifolia,parinari_curatellifolia,mbula,mchungwa,-5.5143725,30.5707641,1585.599976
2016_5615,5615_16,parinari,curatellifolia,parinari_curatellifolia,mbula,mchungwa,-5.5143488,30.5723336,1583.5
2016_5646,5646_16,lannea,schimperi,lannea_schimperi,mfute,mchungwa,-5.5140271,30.5757206,1574.599976
2016_5610,5610_16,vitex,unknown,vitex_unknown,mtalali,mchungwa,-5.5139899,30.5762464,1569.400024
2016_5617,5617_16,lannea,schimperi,lannea_schimperi,mfute,mchungwa,-5.5139729,30.5762051,1560.699951
2016_5612,5612_16,lannea,schimperi,lannea_schimperi,mfute,mchungwa,-5.5139255,30.5767353,1569.5
2016_5640,5640_16,parinari,curatellifolia,parinari_curatellifolia,mbula,mchungwa,-5.5138271,30.570053,1620.599976
2016_5628,5628_16,lannea,schimperi,lannea_schimperi,mfute,mchungwa,-5.5138194,30.5759128,1585.099976
2016_5603,5603_16,keetia,guenzii,keetia_guenzii,mfulu,mchungwa,-5.5138076,30.5762321,1560.900024
2016_5636,5636_16,strychnos,spinosa,strychnos_spinosa,ikome,mchungwa,-5.5137663,30.5751623,1572.900024
2016_5644,5644_16,parinari,curatellifolia,parinari_curatellifolia,mbula,mchungwa,-5.5137644,30.5768256,1535.800049
2016_5622,5622_16,vitex,unknown,vitex_unknown,mtalali,mchungwa,-5.5137628,30.5759801,1561.300049
2016_5639,5639_16,parinari,curatellifolia,parinari_curatellifolia,mbula,mchungwa,-5.5137435,30.5695209,1610.599976
2016_5643,5643_16,lannea,schimperi,lannea_schimperi,mfute,mchungwa,-5.5137431,30.5748505,1594.900024
2016_5602,5602_16,keetia,guenzii,keetia_guenzii,mfulu,mchungwa,-5.5136853,30.5767641,1560.199951
2016_5638,5638_16,keetia,guenzii,keetia_guenzii,mfulu,mchungwa,-5.513678,30.5755676,1553.5
2016_5614,5614_16,parinari,curatellifolia,parinari_curatellifolia,mbula,mchungwa,-5.5135551,30.5765881,1524.5
2016_5633,5633_16,lannea,schimperi,lannea_schimperi,mfute,mchungwa,-5.5132164,30.5770846,1501.5
2016_5625,5625_16,lannea,schimperi,lannea_schimperi,mfute,mchungwa,-5.5130171,30.5772963,1556.599976
2016_5618,5618_16,parinari,curatellifolia,parinari_curatellifolia,mbula,mchungwa,-5.5129717,30.5772097,1585.099976
2016_5613,5613_16,lannea,schimperi,lannea_schimperi,mfute,mchungwa,-5.512877,30.5771944,1557.199951
2016_5607,5607_16,lannea,schimperi,lannea_schimperi,mfute,mchungwa,-5.5126988,30.5773055,1525.699951
2016_5626,5626_16,lannea,schimperi,lannea_schimperi,mfute,mchungwa,-5.5125708,30.5772951,1535.599976
2016_5641,5641_16,garcinia,huillensis,garcinia_huillensis,myeye,mchungwa,-5.5116049,30.5772591,1503
2016_5647,5647_16,lannea,schimperi,lannea_schimperi,mfute,mchungwa,-5.5113966,30.5772271,1458.900024
2016_5634,5634_16,lannea,schimperi,lannea_schimperi,mfute,mchungwa,-5.511041,30.5775193,1520.800049
2016_5631,5631_16,parinari,curatellifolia,parinari_curatellifolia,mbula,mchungwa,-5.5109574,30.5772481,1465.199951
2016_5604,5604_16,parinari,curatellifolia,parinari_curatellifolia,mbula,mchungwa,-5.5108008,30.5659038,1601.5
2016_5621,5621_16,lannea,schimperi,lannea_schimperi,mfute,mchungwa,-5.510706,30.5774297,1497
2016_5642,5642_16,parinari,curatellifolia,parinari_curatellifolia,mbula,mchungwa,-5.5106052,30.5655221,1653.900024
2016_5606,5606_16,lannea,schimperi,lannea_schimperi,mfute,mchungwa,-5.5100703,30.5650484,1611.099976
2016_5611,5611_16,parinari,curatellifolia,parinari_curatellifolia,mbula,mchungwa,-5.5098294,30.5650465,1598.800049
2016_5616,5616_16,parinari,curatellifolia,parinari_curatellifolia,mbula,mchungwa,-5.5092289,30.5776742,1557.199951
2016_5632,5632_16,parinari,curatellifolia,parinari_curatellifolia,mbula,mchungwa,-5.5091689,30.5777247,1509.099976
2016_5645,5645_16,parinari,curatellifolia,parinari_curatellifolia,mbula,mchungwa,-5.5091489,30.5648021,1597.199951
2016_5623,5623_16,parinari,curatellifolia,parinari_curatellifolia,mbula,mchungwa,-5.5091383,30.5650086,1615.099976
2016_5731,5731_16,lannea,schimperi,lannea_schimperi,mfute,mchungwa,-5.5090591,30.5778022,1510.400024
2016_5609,5609_16,parinari,curatellifolia,parinari_curatellifolia,mbula,mchungwa,-5.5090427,30.5648996,1609.5
2016_5648,5648_16,parinari,curatellifolia,parinari_curatellifolia,mbula,mchungwa,-5.5089053,30.5649445,1596.699951
